SampleID	NXT_run	Sample_origin	Sample_origin_drate	Groups	Batch	Name	Dilution_rate	Cultivation_phase	Comparable_groups
NXT061_SAB376	NXT061	Human	Slow	Changestat_Slow	M13	m13_12.1	Slow	Changestat	changestat_slow_human
NXT061_SAB377	NXT061	Human	Slow	Changestat_Slow	M13	m13_13.1	Slow	Changestat	changestat_slow_human
NXT061_SAB370	NXT061	Human	Steady_state	Chemostat_Fast	M11	m11_4.3	Fast	Steady_state	ss_chemostat_fast_human
NXT061_SAB373	NXT061	Human	Steady_state	Chemostat_Fast	M11	m11_O5	Fast	Steady_state	ss_chemostat_fast_human
NXT061_SAB379	NXT061	Human	Steady_state	Chemostat_Fast	M15	m15_5.1	Fast	Steady_state	ss_chemostat_fast_human
NXT061_SAB383	NXT061	Human	Steady_state	Chemostat_Fast	M16	m16_5.1	Fast	Steady_state	ss_chemostat_fast_human
NXT061_SAB368	NXT061	Human	Steady_state	Chemostat_Slow	M10	m10_4.3	Slow	Steady_state	ss_chemostat_slow_human
NXT061_SAB369	NXT061	Human	Steady_state	Chemostat_Slow	M10	m10_O5	Slow	Steady_state	ss_chemostat_slow_human
NXT061_SAB374	NXT061	Human	Steady_state	Chemostat_Slow	M13	m13_3.1	Slow	Steady_state	ss_chemostat_slow_human
NXT061_SAB378	NXT061	Human	Steady_state	Chemostat_Slow	M14	m14_6.1	Slow	Steady_state	ss_chemostat_slow_human
NXT075_Mao255	NXT075	Human	Fast	Fast_Chemostat	M15	M15_B2.1_GC2.1	Fast	Chemostat	1Vol_chemostat_fast_human
NXT075_Mao256	NXT075	Human	Fast	Fast_Chemostat	M16	M16_B2.1_GC2.1	Fast	Chemostat	1Vol_chemostat_fast_human
NXT075_Mao241	NXT075	Human	Inoculum	Inoculum	Inoculum	Inoculum	Inoculum	Inoculum	Inoculum
NXT075_Mao257	NXT075	Human	Slow	Slow_Chemostat	M14	M14_GC2.2	Slow	Stabilisation	1Vol_chemostat_slow_human
NXT061_SAB330	NXT061	Mice	Fast	Batch_Fast	V3	v3s1	Fast	Batch	Batch
NXT061_SAB343	NXT061	Mice	Fast	Batch_Fast	V5	v5s1	Fast	Batch	Batch
NXT061_SAB319	NXT061	Mice	Slow	Batch_Slow	V2	v2s1	Slow	Batch	Batch
NXT061_SAB336	NXT061	Mice	Slow	Batch_Slow	V4	v4s1	Slow	Batch	Batch
NXT061_SAB347	NXT061	Mice	Slow	Batch_Slow	V6	v6s1	Slow	Batch	Batch
NXT061_SAB335	NXT061	Mice	Fast	Chemostat_Fast	V3	v3s4	Fast	Chemostat_Vol5	Steady_state
NXT061_SAB346	NXT061	Mice	Fast	Chemostat_Fast	V5	v5s4	Fast	Chemostat_Vol5	Steady_state
NXT061_SAB333	NXT061	Mice	Fast	Chemostat_Fast_Intermediate	V3	v3s2	Fast	Chemostat_Vol1	Chemostat
NXT061_SAB334	NXT061	Mice	Fast	Chemostat_Fast_Intermediate	V3	v3s3	Fast	Chemostat_Vol2	Chemostat
NXT061_SAB344	NXT061	Mice	Fast	Chemostat_Fast_Intermediate	V5	v5s2	Fast	Chemostat_Vol1	Chemostat
NXT061_SAB345	NXT061	Mice	Fast	Chemostat_Fast_Intermediate	V5	v5s3	Fast	Chemostat_Vol2	Chemostat
NXT061_SAB325	NXT061	Mice	Slow	Chemostat_Slow	V2	v2s5	Slow	Chemostat_Vol5	Steady_state
NXT061_SAB340	NXT061	Mice	Slow	Chemostat_Slow	V4	v4s5	Slow	Chemostat_Vol5	Steady_state
NXT061_SAB353	NXT061	Mice	Slow	Chemostat_Slow	V6	v6s5	Slow	Chemostat_Vol5	Steady_state
NXT061_SAB320	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s2	Slow	Chemostat_Vol1.8	Chemostat
NXT061_SAB323	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s3	Slow	Chemostat_Vol3	Chemostat
NXT061_SAB324	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s4	Slow	Chemostat_Vol4	Chemostat
NXT061_SAB337	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V4	v4s2	Slow	Chemostat_Vol1.8	Chemostat
NXT061_SAB338	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V4	v4s3	Slow	Chemostat_Vol3	Chemostat
NXT061_SAB339	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V4	v4s4	Slow	Chemostat_Vol4	Chemostat
NXT061_SAB348	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V6	v6s2	Slow	Chemostat_Vol1.8	Chemostat
NXT061_SAB349	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V6	v6s3	Slow	Chemostat_Vol3	Chemostat
NXT061_SAB350	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V6	v6s4	Slow	Chemostat_Vol4	Chemostat
NXT061_SAB326	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s6	Slow	Chemostat	6Vol_chemostat_slow_mice
NXT061_SAB327	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s7	Slow	Chemostat	7.2Vol_chemostat_slow_mice
NXT061_SAB328	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s8	Slow	Chemostat	8.5Vol_chemostat_slow_mice
NXT061_SAB329	NXT061	Mice	Slow	Chemostat_Slow_Intermediate	V2	v2s9	Slow	Chemostat	10Vol_chemostat_mice
NXT061_SAB354	NXT061	Mice	Inoculum_V1	Inoculum	Inoculum	Inoculum_V1	Inoculum	Inoculum	Inoculum
NXT061_SAB355	NXT061	Mice	Inoculum_V2	Inoculum	Inoculum	Inoculum_V2	Inoculum	Inoculum	Inoculum
NXT061_SAB356	NXT061	Mice	Inoculum_V3	Inoculum	Inoculum	Inoculum_V3	Inoculum	Inoculum	Inoculum
NXT061_SAB357	NXT061	Mice	Inoculum_V4	Inoculum	Inoculum	Inoculum_V4	Inoculum	Inoculum	Inoculum
NXT061_SAB358	NXT061	Mice	Inoculum_V5	Inoculum	Inoculum	Inoculum_V5	Inoculum	Inoculum	Inoculum
NXT061_SAB359	NXT061	Mice	Inoculum_V6	Inoculum	Inoculum	Inoculum_V6	Inoculum	Inoculum	Inoculum
NXT075_Mao253	NXT075	Mice	Slow	Slow_Chemostat	V2	V2_5vol_c.prep	Slow	Steady_state	V2.5vol.after.C.prep_mice
NXT075_Mao254	NXT075	Mice	Slow	Slow_Chemostat	V2	V2_5vol_ug	Slow	Steady_state	V2.5vol.before.C.prep_mice
NXT061_SAB313	NXT061	Mice_out	Fast	Batch_Fast	V1	v1s1	Fast	Batch_out	Batch
NXT061_SAB314	NXT061	Mice_out	Fast	Chemostat_Fast	V1	v1s2	Fast	Chemostat_out	Chemostat_out
NXT061_SAB315	NXT061	Mice_out	Fast	Chemostat_Fast	V1	v1s3	Fast	Chemostat_out	Chemostat_out
NXT061_SAB316	NXT061	Mice_out	Fast	Chemostat_Fast	V1	v1s4	Fast	Chemostat_out	Chemostat_out
NXT061_SAB317	NXT061	Mice_out	Fast	Chemostat_Fast	V1	v1s5	Fast	Chemostat_out	Chemostat_out
NXT061_SAB318	NXT061	Mice_out	Fast	Chemostat_Fast	V1	v1s6	Fast	Chemostat_out	Chemostat_out
NXT061_SAB360	NXT061	Mice_out	Fast	Fast_Chemostat	PBS	v1PBS	Fast	Chemostat_out	out
NXT061_SAB364	NXT061	Mice_out	Fast	Fast_Chemostat	PBS	v3PBS	Fast	Chemostat_out	out
NXT061_SAB366	NXT061	Mice_out	Fast	Fast_Chemostat	PBS	v5PBS	Fast	Chemostat_out	out
NXT061_SAB363	NXT061	Mice_out	Slow	Slow_Chemostat	PBS	v2PBS	Slow	Chemostat_out	out
NXT061_SAB365	NXT061	Mice_out	Slow	Slow_Chemostat	PBS	v4PBS	Slow	Chemostat_out	out
NXT061_SAB367	NXT061	Mice_out	Slow	Slow_Chemostat	PBS	v6PBS	Slow	Chemostat_out	out
NXT061_INI321	NXT061	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_1	NA	Controls	Neg_control
NXT061_INI331	NXT061	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_2	NA	Controls	Neg_control
NXT061_INI341	NXT061	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_3	NA	Controls	Neg_control
NXT061_INI351	NXT061	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_4	NA	Controls	Neg_control
NXT061_INI361	NXT061	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_5	NA	Controls	Neg_control
NXT075_Mao47	NXT075	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_6	NA	Controls	Neg_control
NXT075_Mao192	NXT075	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_7	NA	Controls	Neg_control
NXT075_Mao239	NXT075	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_8	NA	Controls	Neg_control
NXT075_Mao95	NXT075	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_9	NA	Controls	Neg_control
NXT075_Mao143	NXT075	Neg_control	Neg_control_NA	Neg_control_NA_Controls	Neg_control	neg_control_10	NA	Controls	Neg_control
NXT061_SAB387	NXT061	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_1	NA	Controls	Pos_control
NXT061_SAB388	NXT061	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_2	NA	Controls	Pos_control
NXT061_SAB389	NXT061	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_3	NA	Controls	Pos_control
NXT061_SAB390	NXT061	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_4	NA	Controls	Pos_control
NXT075_Mao48	NXT075	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_5	NA	Controls	Pos_control
NXT075_Mao240	NXT075	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_6	NA	Controls	Pos_control
NXT075_Mao96	NXT075	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_7	NA	Controls	Pos_control
NXT075_Mao144	NXT075	Pos_control	Pos_control_NA	Pos_control_NA_Controls	Pos_control	pos_control_8	NA	Controls	Pos_control
